RANK 2024,PLAYER,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020,RANK 2019,AGE 2019,GP 2019,W 2019,L 2019,MIN 2019,PTS 2019,FGM 2019,FGA 2019,FG% 2019,3PM 2019,3PA 2019,3P% 2019,FTM 2019,FTA 2019,FT% 2019,OREB 2019,DREB 2019,REB 2019,AST 2019,TOV 2019,STL 2019,BLK 2019,PF 2019,FP 2019,DD2 2019,TD3 2019,+/- 2019,RANK 2018,AGE 2018,GP 2018,W 2018,L 2018,MIN 2018,PTS 2018,FGM 2018,FGA 2018,FG% 2018,3PM 2018,3PA 2018,3P% 2018,FTM 2018,FTA 2018,FT% 2018,OREB 2018,DREB 2018,REB 2018,AST 2018,TOV 2018,STL 2018,BLK 2018,PF 2018,FP 2018,DD2 2018,TD3 2018,+/- 2018,RANK 2017,AGE 2017,GP 2017,W 2017,L 2017,MIN 2017,PTS 2017,FGM 2017,FGA 2017,FG% 2017,3PM 2017,3PA 2017,3P% 2017,FTM 2017,FTA 2017,FT% 2017,OREB 2017,DREB 2017,REB 2017,AST 2017,TOV 2017,STL 2017,BLK 2017,PF 2017,FP 2017,DD2 2017,TD3 2017,+/- 2017,RANK 2016,AGE 2016,GP 2016,W 2016,L 2016,MIN 2016,PTS 2016,FGM 2016,FGA 2016,FG% 2016,3PM 2016,3PA 2016,3P% 2016,FTM 2016,FTA 2016,FT% 2016,OREB 2016,DREB 2016,REB 2016,AST 2016,TOV 2016,STL 2016,BLK 2016,PF 2016,FP 2016,DD2 2016,TD3 2016,+/- 2016,RANK 2015,AGE 2015,GP 2015,W 2015,L 2015,MIN 2015,PTS 2015,FGM 2015,FGA 2015,FG% 2015,3PM 2015,3PA 2015,3P% 2015,FTM 2015,FTA 2015,FT% 2015,OREB 2015,DREB 2015,REB 2015,AST 2015,TOV 2015,STL 2015,BLK 2015,PF 2015,FP 2015,DD2 2015,TD3 2015,+/- 2015,RANK 2014,AGE 2014,GP 2014,W 2014,L 2014,MIN 2014,PTS 2014,FGM 2014,FGA 2014,FG% 2014,3PM 2014,3PA 2014,3P% 2014,FTM 2014,FTA 2014,FT% 2014,OREB 2014,DREB 2014,REB 2014,AST 2014,TOV 2014,STL 2014,BLK 2014,PF 2014,FP 2014,DD2 2014,TD3 2014,+/- 2014,RANK 2013,AGE 2013,GP 2013,W 2013,L 2013,MIN 2013,PTS 2013,FGM 2013,FGA 2013,FG% 2013,3PM 2013,3PA 2013,3P% 2013,FTM 2013,FTA 2013,FT% 2013,OREB 2013,DREB 2013,REB 2013,AST 2013,TOV 2013,STL 2013,BLK 2013,PF 2013,FP 2013,DD2 2013,TD3 2013,+/- 2013,RANK 2012,AGE 2012,GP 2012,W 2012,L 2012,MIN 2012,PTS 2012,FGM 2012,FGA 2012,FG% 2012,3PM 2012,3PA 2012,3P% 2012,FTM 2012,FTA 2012,FT% 2012,OREB 2012,DREB 2012,REB 2012,AST 2012,TOV 2012,STL 2012,BLK 2012,PF 2012,FP 2012,DD2 2012,TD3 2012,+/- 2012,RANK 2011,AGE 2011,GP 2011,W 2011,L 2011,MIN 2011,PTS 2011,FGM 2011,FGA 2011,FG% 2011,3PM 2011,3PA 2011,3P% 2011,FTM 2011,FTA 2011,FT% 2011,OREB 2011,DREB 2011,REB 2011,AST 2011,TOV 2011,STL 2011,BLK 2011,PF 2011,FP 2011,DD2 2011,TD3 2011,+/- 2011,RANK 2010,AGE 2010,GP 2010,W 2010,L 2010,MIN 2010,PTS 2010,FGM 2010,FGA 2010,FG% 2010,3PM 2010,3PA 2010,3P% 2010,FTM 2010,FTA 2010,FT% 2010,OREB 2010,DREB 2010,REB 2010,AST 2010,TOV 2010,STL 2010,BLK 2010,PF 2010,FP 2010,DD2 2010,TD3 2010,+/- 2010,RANK 2009,AGE 2009,GP 2009,W 2009,L 2009,MIN 2009,PTS 2009,FGM 2009,FGA 2009,FG% 2009,3PM 2009,3PA 2009,3P% 2009,FTM 2009,FTA 2009,FT% 2009,OREB 2009,DREB 2009,REB 2009,AST 2009,TOV 2009,STL 2009,BLK 2009,PF 2009,FP 2009,DD2 2009,TD3 2009,+/- 2009,RANK 2008,AGE 2008,GP 2008,W 2008,L 2008,MIN 2008,PTS 2008,FGM 2008,FGA 2008,FG% 2008,3PM 2008,3PA 2008,3P% 2008,FTM 2008,FTA 2008,FT% 2008,OREB 2008,DREB 2008,REB 2008,AST 2008,TOV 2008,STL 2008,BLK 2008,PF 2008,FP 2008,DD2 2008,TD3 2008,+/- 2008,RANK 2007,AGE 2007,GP 2007,W 2007,L 2007,MIN 2007,PTS 2007,FGM 2007,FGA 2007,FG% 2007,3PM 2007,3PA 2007,3P% 2007,FTM 2007,FTA 2007,FT% 2007,OREB 2007,DREB 2007,REB 2007,AST 2007,TOV 2007,STL 2007,BLK 2007,PF 2007,FP 2007,DD2 2007,TD3 2007,+/- 2007,RANK 2006,AGE 2006,GP 2006,W 2006,L 2006,MIN 2006,PTS 2006,FGM 2006,FGA 2006,FG% 2006,3PM 2006,3PA 2006,3P% 2006,FTM 2006,FTA 2006,FT% 2006,OREB 2006,DREB 2006,REB 2006,AST 2006,TOV 2006,STL 2006,BLK 2006,PF 2006,FP 2006,DD2 2006,TD3 2006,+/- 2006,RANK 2005,AGE 2005,GP 2005,W 2005,L 2005,MIN 2005,PTS 2005,FGM 2005,FGA 2005,FG% 2005,3PM 2005,3PA 2005,3P% 2005,FTM 2005,FTA 2005,FT% 2005,OREB 2005,DREB 2005,REB 2005,AST 2005,TOV 2005,STL 2005,BLK 2005,PF 2005,FP 2005,DD2 2005,TD3 2005,+/- 2005,RANK 2004,AGE 2004,GP 2004,W 2004,L 2004,MIN 2004,PTS 2004,FGM 2004,FGA 2004,FG% 2004,3PM 2004,3PA 2004,3P% 2004,FTM 2004,FTA 2004,FT% 2004,OREB 2004,DREB 2004,REB 2004,AST 2004,TOV 2004,STL 2004,BLK 2004,PF 2004,FP 2004,DD2 2004,TD3 2004,+/- 2004,RANK 2003,AGE 2003,GP 2003,W 2003,L 2003,MIN 2003,PTS 2003,FGM 2003,FGA 2003,FG% 2003,3PM 2003,3PA 2003,3P% 2003,FTM 2003,FTA 2003,FT% 2003,OREB 2003,DREB 2003,REB 2003,AST 2003,TOV 2003,STL 2003,BLK 2003,PF 2003,FP 2003,DD2 2003,TD3 2003,+/- 2003,RANK 2001,AGE 2001,GP 2001,W 2001,L 2001,MIN 2001,PTS 2001,FGM 2001,FGA 2001,FG% 2001,3PM 2001,3PA 2001,3P% 2001,FTM 2001,FTA 2001,FT% 2001,OREB 2001,DREB 2001,REB 2001,AST 2001,TOV 2001,STL 2001,BLK 2001,PF 2001,FP 2001,DD2 2001,TD3 2001,+/- 2001,RANK 2000,AGE 2000,GP 2000,W 2000,L 2000,MIN 2000,PTS 2000,FGM 2000,FGA 2000,FG% 2000,3PM 2000,3PA 2000,3P% 2000,FTM 2000,FTA 2000,FT% 2000,OREB 2000,DREB 2000,REB 2000,AST 2000,TOV 2000,STL 2000,BLK 2000,PF 2000,FP 2000,DD2 2000,TD3 2000,+/- 2000
,ADAORA ELONU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,29,1,0,1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADIA BARNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,28,34,20,14,11.9,2.0,0.6,2.0,30.4,0.1,0.2,50.0,0.6,0.9,71.0,1.0,0.9,1.9,0.9,0.7,0.7,0.1,1.1,6.3,0,0,1.7,77,27,16,9,7,24.8,5.5,2.0,5.3,38.1,0.8,1.9,38.7,0.8,1.3,57.1,1.6,2.4,4.1,1.4,1.1,0.7,0.4,2.3,14.0,0,0,1.9,193,25,3,3,0,0.9,0.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.7,174,24,5,5,0,3.6,1.6,0.6,1.0,60.0,0.0,0.2,0.0,0.4,0.8,50.0,0.4,0.0,0.4,0.8,0.4,0.0,0.0,0.4,2.8,0,0,1.6
,ADRIAN WILLIAMS-STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,32,34,18,16,20.2,6.1,2.5,5.8,43.9,0.0,0.0,0.0,1.0,1.7,61.4,2.0,2.9,4.9,0.6,1.6,0.6,0.2,2.1,13.2,0,0,-1.7,74,31,34,19,15,17.2,6.0,2.4,5.1,46.9,0.0,0.0,0.0,1.1,1.4,79.6,1.8,2.6,4.4,0.8,1.6,0.6,0.2,1.8,12.6,1,0,-3.9,102,30,32,10,22,15.2,4.9,1.9,4.2,44.8,0.0,0.0,0.0,1.2,2.2,53.6,1.3,3.4,4.7,0.3,0.6,0.8,0.3,1.9,11.9,1,0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,28,23,9,14,12.7,4.2,1.8,4.6,40.0,0.0,0.0,0.0,0.6,0.9,61.9,0.7,1.4,2.1,0.6,1.2,0.8,0.3,1.5,9.1,0,0,-2.2,43,27,34,8,26,29.0,9.8,4.1,10.3,40.2,0.0,0.0,0.0,1.5,2.5,61.2,2.0,5.4,7.4,0.9,2.1,1.7,0.6,2.8,22.6,6,0,-4.3,118,25,25,10,15,15.0,3.8,1.5,4.5,33.6,0.0,0.0,0.0,0.8,1.1,71.4,0.8,2.2,3.0,0.4,1.4,0.6,0.2,1.7,8.9,0,0,-4.2,145,24,28,18,10,12.6,2.8,1.0,2.6,40.3,0.0,0.0,0.0,0.7,1.4,52.6,0.9,1.7,2.5,0.6,1.0,0.5,0.1,1.5,7.1,1,0,0.0
,ADRIANA MOISES PINTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,29,4,2,2,7.8,1.8,0.5,1.3,40.0,0.3,0.3,100,0.5,0.5,100,0.8,1.0,1.8,0.8,2.5,0.8,0.0,0.5,6.0,0,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,23,7,2,5,17.4,5.9,2.0,5.1,38.9,0.6,1.7,33.3,1.3,1.7,75.0,0.6,1.7,2.3,2.4,2.3,0.9,0.0,1.6,12.9,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADRIANNE ROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,24,4,3,1,1.7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,0.8,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADRIENNE GOODSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,39,33,16,17,14.1,4.3,1.8,4.4,41.0,0.1,0.1,66.7,0.7,1.1,61.1,1.0,1.2,2.2,0.6,1.0,0.3,0.0,1.2,7.9,0,0,-0.9,29,38,34,9,25,31.4,10.9,4.2,9.3,44.8,0.1,0.5,25.0,2.5,3.0,82.4,2.6,4.3,6.9,1.8,2.0,0.8,0.1,2.3,21.5,5,0,-3.4,33,37,33,12,21,29.4,11.2,4.3,10.8,39.5,0.2,1.1,22.2,2.5,3.1,79.4,2.2,3.4,5.6,2.2,2.6,0.7,0.2,2.9,21.1,1,0,-1.4,19,35,28,17,11,30.5,12.3,4.9,11.4,43.3,0.2,1.1,16.1,2.2,3.2,69.7,2.4,3.1,5.4,2.1,2.7,1.0,0.0,2.3,21.9,3,0,1.2,9,34,29,17,12,32.1,17.2,6.9,14.3,48.0,0.3,1.0,27.6,3.2,4.6,68.7,2.4,3.3,5.7,2.4,2.8,1.4,0.2,2.3,28.8,1,0,1.0
,ADRIENNE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,30,34,18,16,17.3,5.1,2.0,5.7,35.4,0.5,1.4,34.7,0.5,0.7,75.0,0.7,1.0,1.7,0.5,0.6,0.5,0.0,1.1,8.9,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,27,32,16,16,33.4,13.4,5.4,12.0,44.7,1.6,4.6,34.2,1.1,1.2,89.5,0.9,1.9,2.8,1.6,1.7,0.8,0.1,1.8,21.0,1,0,-0.2
,ADUT BULGAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,25,5,1,4,12.3,4.4,1.8,4.4,40.9,0.2,0.6,33.3,0.6,1.0,60.0,0.8,3.2,4.0,0.0,0.6,1.0,0.4,2.2,11.4,0,0,-0.8,132,24,7,4,3,3.3,2.0,0.7,1.6,45.5,0.1,0.3,50.0,0.4,0.6,75.0,0.4,0.9,1.3,0.0,0.1,0.0,0.0,0.4,3.4,0,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,AERIAL POWERS,30,17,7,10,17.9,8.6,2.9,8.1,35.5,0.8,2.1,38.9,2.0,2.5,79.1,0.9,2.4,3.3,1.4,1.1,0.9,0.2,2.1,16.5,0,0,-4.2,87,30,20,7,13,9.7,5.2,1.9,4.6,41.3,0.3,1.0,31.6,1.1,1.2,91.7,0.3,1.5,1.8,0.8,0.9,0.2,0.1,0.3,8.6,0,0,-2.1,20,29,35,13,22,27.0,14.4,4.9,12.6,38.5,0.9,3.1,30.8,3.8,4.6,81.5,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8,25.9,3,0,-3.7,28,28,14,10,4,22.1,13.4,4.4,10.2,42.7,0.8,2.5,31.4,3.9,4.3,91.7,0.9,2.7,3.6,2.1,2.9,0.4,0.4,2.1,21.4,0,0,3.4,13,27,6,3,3,29.8,16.3,5.3,11.5,46.4,1.5,4.3,34.6,4.2,5.0,83.3,0.3,4.5,4.8,2.5,1.8,1.5,0.0,2.7,28.2,0,0,7.2,29,26,30,23,7,19.8,11.4,3.6,8.3,43.4,1.4,3.9,36.2,2.8,3.3,86.7,1.1,2.1,3.2,1.5,1.5,0.8,0.2,1.6,19.6,0,0,6.1,77,25,24,16,8,14.4,6.2,2.0,5.1,39.3,0.5,1.8,27.3,1.7,1.9,87.0,0.7,2.1,2.8,0.9,1.3,0.5,0.3,1.3,11.9,1,0,1.6,38,24,12,6,6,20.3,10.8,3.3,9.8,33.9,1.1,3.5,31.0,3.0,3.7,81.8,1.4,2.8,4.2,1.5,1.5,0.4,0.5,1.7,19.3,0,0,-0.7,38,23,32,11,21,19.2,10.4,3.1,7.9,39.4,1.0,2.7,36.8,3.2,3.8,83.5,0.8,1.9,2.7,1.1,1.6,1.0,0.2,2.3,17.7,1,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGNIESZKA BIBRZYCKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,24,32,12,20,23.5,11.3,4.1,9.7,41.8,1.7,4.9,35.0,1.4,1.7,86.8,0.3,1.8,2.1,1.5,1.5,0.8,0.4,1.5,18.9,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,22,24,6,18,19.4,6.6,2.3,6.3,36.4,1.1,3.5,31.0,1.0,1.1,88.5,0.2,1.0,1.2,1.7,1.3,0.9,0.3,1.6,12.9,0,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
